horizon,distance_ticks,p_fill_bid,p_fill_ask,p_fill_mean
1,1,0.048,0.050166666666666665,0.04908333333333333
1,2,0.04733333333333333,0.04933333333333333,0.04833333333333333
1,3,0.04733333333333333,0.049166666666666664,0.04825
1,4,0.04733333333333333,0.049,0.04816666666666666
1,5,0.04716666666666667,0.049,0.04808333333333334
1,6,0.04716666666666667,0.049,0.04808333333333334
1,7,0.04683333333333333,0.049,0.04791666666666666
1,8,0.04683333333333333,0.049,0.04791666666666666
1,9,0.04683333333333333,0.049,0.04791666666666666
1,10,0.04683333333333333,0.049,0.04791666666666666
3,1,0.11916666666666667,0.12,0.11958333333333333
3,2,0.1175,0.1185,0.118
3,3,0.1175,0.11833333333333333,0.11791666666666667
3,4,0.1175,0.11783333333333333,0.11766666666666667
3,5,0.117,0.11783333333333333,0.11741666666666667
3,6,0.117,0.11783333333333333,0.11741666666666667
3,7,0.116,0.11783333333333333,0.11691666666666667
3,8,0.116,0.11783333333333333,0.11691666666666667
3,9,0.116,0.11783333333333333,0.11691666666666667
3,10,0.116,0.11783333333333333,0.11691666666666667
5,1,0.17383333333333334,0.17716666666666667,0.1755
5,2,0.17116666666666666,0.1755,0.17333333333333334
5,3,0.17116666666666666,0.17533333333333334,0.17325000000000002
5,4,0.17116666666666666,0.17466666666666666,0.17291666666666666
5,5,0.17033333333333334,0.17466666666666666,0.1725
5,6,0.17033333333333334,0.17466666666666666,0.1725
5,7,0.16916666666666666,0.17466666666666666,0.17191666666666666
5,8,0.16916666666666666,0.17466666666666666,0.17191666666666666
5,9,0.16916666666666666,0.17466666666666666,0.17191666666666666
5,10,0.16916666666666666,0.17466666666666666,0.17191666666666666
10,1,0.278,0.2855,0.28175
10,2,0.273,0.283,0.278
10,3,0.273,0.2828333333333333,0.2779166666666667
10,4,0.273,0.2828333333333333,0.2779166666666667
10,5,0.27166666666666667,0.2828333333333333,0.27725
10,6,0.27166666666666667,0.2828333333333333,0.27725
10,7,0.2703333333333333,0.2825,0.27641666666666664
10,8,0.2703333333333333,0.2825,0.27641666666666664
10,9,0.2703333333333333,0.2825,0.27641666666666664
10,10,0.2703333333333333,0.2825,0.27641666666666664
